"playerID","HallOfFame_years_on_ballot","HallOfFame_max_ballots_cast","HallOfFame_max_needed","HallOfFame_max_votes","HallOfFame_inducted","birthYear","birthMonth","birthDay","birthCountry","birthState","birthCity","deathYear","deathMonth","deathDay","deathCountry","deathState","deathCity","nameFirst","nameLast","nameGiven","weight","height","bats","throws","debut","finalGame","retroID","bbrefID","Batting_total_seasons","Batting_total_teams","Batting_G","Batting_AB","Batting_R","Batting_H","Batting_2B","Batting_3B","Batting_HR","Batting_RBI","Batting_SB","Batting_CS","Batting_BB","Batting_SO","Batting_IBB","Batting_HBP","Batting_SH","Batting_SF","Batting_GIDP","Fielding_G","Fielding_GS","Fielding_InnOuts","Fielding_PO","Fielding_A","Fielding_E","Fielding_DP","Fielding_PB","Fielding_WP","Fielding_SB","Fielding_CS","Awards_PitchingTripleCrown","Awards_TripleCrown","Awards_BaseballMagazineAllStar","Awards_MostValuablePlayer","Awards_TSNAllStar","Awards_TSNGuideMVP","Awards_TSNMajorLeaguePlayerOfTheYear","Awards_TSNPitcherOfTheYear","Awards_TSNPlayerOfTheYear","Awards_RookieOfTheYear","Awards_BabeRuthAward","Awards_LouGehrigMemorialAward","Awards_WorldSeriesMVP","Awards_CyYoungAward","Awards_GoldGlove","Awards_FiremanOfTheYear","Awards_AlLStarGameMVP","Awards_HutchAward","Awards_RobertoClemnteAward","Awards_RolaidsReliefManAward","Awards_NLCSMVP","Awards_ALCSMVP","Awards_SilverSluger","Awards_BranchRickeyAward","Awards_HankAaronAward","Awards_TSNReliverOfTheYear","Awards_ComebackPlayerOfTheYear","Awards_OutstandingDHAward","Awards_RelieverOfTheYear","AllstarGames","position","position.c","position.1b","position.2b","position.3b","position.ss","position.lf","position.cf","position.rf","Batting_Average","Batting_1B","Slugging","OPS","ISO","wOBA"
"fonsele01",5,269,202,3,"N",1899,1,21,"USA","CA","Oakland",1989,11,26,"USA","IA","Ely","Lew","Fonseca","Lewis Albert",180,70,"R","R","1921-04-13",1933-09-11,"fonsl101","fonsele01",12,4,937,3404,518,1075,203,50,31,485,64,36,186,199,0,23,111,0,0,884,0,0,4799,1459,109,507,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1b",0,1,0,0,0,0,0,0,0.315804935370153,791,0.43213866039953,0.355383337946305,0.116333725029377,0.1713619706615
"salmoti01",1,573,430,5,"N",1968,8,24,"USA","CA","Long Beach",NA,NA,NA,"","","","Tim","Salmon","Timothy James",200,75,"R","R","1992-08-21",2006-10-01,"salmt001","salmoti01",14,3,1672,5934,986,1674,339,24,299,1016,48,42,970,1360,45,67,0,68,98,1266,1259,32884,2703,99,65,23,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"rf",0,0,0,0,0,0,0,1,0.282103134479272,1012,0.498483316481294,0.385139934649808,0.216380182002022,0.267992793823277
"higgibo02",1,581,436,0,"N",1970,8,18,"USA","PA","Philadelphia",NA,NA,NA,"","","","Bobby","Higginson","Robert Leigh",180,71,"L","R","1995-04-26",2005-05-05,"higgb001","higgibo02",11,1,1362,4910,736,1336,270,33,187,709,91,53,649,796,36,37,12,52,83,1273,1239,32632,2589,123,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lf",0,0,0,0,0,1,0,0,0.272097759674134,846,0.454786150712831,0.35800283286119,0.182688391038697,0.234175659301497
"tebeapa01",0,0,0,0,"N",1864,12,5,"USA","MO","St. Louis",1918,5,16,"USA","MO","St. Louis","Patsy","Tebeau","Oliver Wendell",163,68,"R","R","1887-09-20",1900-06-12,"tebep101","tebeapa01",13,4,1167,4618,671,1290,196,57,27,735,164,0,319,198,0,42,33,0,0,1185,0,0,7018,1661,371,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1b",0,1,0,0,0,0,0,0,0.279341706366392,1010,0.364010394110004,0.331592689295039,0.084668687743612,0.148237999598313
"waltero01",0,0,0,0,"N",1892,11,5,"USA","CA","San Francisco",1956,6,3,"USA","CA","Alameda","Roxy","Walters","Alfred John",160,68,"R","R","1915-09-16",1925-06-29,"waltr102","waltero01",11,3,498,1426,119,317,41,6,0,116,13,5,97,151,0,20,58,0,0,481,0,0,1887,537,63,68,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",1,0,0,0,0,0,0,0,0.222300140252454,270,0.259467040673212,0.281270252754375,0.0371669004207574,0.108329876863253
"baumhfr01",0,0,0,0,"N",1918,10,7,"USA","OH","Midvale",1997,12,14,"USA","FL","Winter Springs","Frank","Baumholtz","Frank Conrad",175,70,"L","L","1947-04-15",1957-05-26,"baumf101","baumhfr01",10,3,1019,3477,450,1010,165,51,25,272,30,20,258,258,2,17,45,10,57,843,141,3675,1785,62,38,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rf",0,0,0,0,0,0,0,1,0.290480299108427,769,0.388840954846132,0.341573631047315,0.0983606557377049,0.160068404255319
"lemonch01",1,470,353,1,"N",1955,2,12,"USA","MS","Jackson",NA,NA,NA,"","","","Chet","Lemon","Chester Earl",190,72,"R","R","1975-09-09",1990-10-03,"lemoc001","lemonch01",16,2,1988,6868,973,1875,396,61,215,884,58,76,749,1024,46,151,50,54,174,1932,1851,48845,4998,122,82,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"cf",0,0,0,0,0,0,1,0,0.273005241700641,1203,0.442341292952825,0.354768601380721,0.169336051252184,0.225633410493827
"thomage01",0,0,0,0,"N",1937,11,29,"USA","MN","Minneapolis",NA,NA,NA,"","","","George","Thomas","George Edward",190,75,"R","R","1957-09-11",1971-09-06,"thomg102","thomage01",13,4,685,1688,203,430,71,9,46,202,13,12,138,343,4,18,10,11,31,572,401,11607,934,128,42,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rf",0,0,0,0,0,0,0,1,0.254739336492891,304,0.389218009478673,0.315902964959569,0.134478672985782,0.180379362506753
"lummi01",0,0,0,0,"N",1945,10,27,"USA","HI","Honolulu",NA,NA,NA,"","","","Mike","Lum","Michael Ken-Wai",180,72,"L","L","1967-09-12",1981-09-30,"lum-m101","lummi01",15,3,1517,3554,404,877,128,20,90,431,13,29,366,506,54,28,18,33,70,1100,811,23129,3721,179,39,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lf",0,0,0,0,0,1,0,0,0.246764209341587,639,0.370005627462015,0.319266515950766,0.123241418120428,0.172227450980392
"johnsbo02",0,0,0,0,"N",1936,3,4,"USA","NE","Omaha",NA,NA,NA,"","","","Bob","Johnson","Robert Wallace",175,70,"R","R","1960-04-19",1970-06-20,"johnb104","johnsbo02",11,8,874,2307,254,628,88,11,44,230,24,12,156,291,12,10,24,11,76,643,537,14493,1537,1252,87,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ss",0,0,0,0,1,0,0,0,0.272214997832683,485,0.377113133940182,0.319645732689211,0.104898136107499,0.150370550161812
